Word,Frequency,CEFR Level,Examples
och,26020,A1,
vara,23017,A1,e.g. var så god!
i,19273,A1,
ha,15983,A1,
dess,15936,A1,
det,14582,A1,
en,14511,A1,
som,12735,A1,
på,12591,A1,
å,12463,A1,e.g. å ena sidan…å andra sidan
av,11540,A1,
för,11409,A1,
att,11272,A1,
kunna,11119,A1,
skola,10411,A1,"(vanligast ska/skall, skulle)"
jag,9391,A1,
inte,9074,A1,
med,8791,A1,
till,8663,A1,
liten,8655,A1,
den,6896,A1,
ett,6314,A1,
unna,5559,A1,e.g. unna sig
om,5278,A1,
vi,4724,A1,
men,4546,A1,
man,4446,A1,
de,4437,A1,
få,4060,A1,
så,4005,A1,
som,3762,A1,
sig,3469,A1,
han,3381,A1,
de,3346,A1,
bli,3293,A1,
komma,3225,A1,e.g. komma fram/ihåg/in/ner/tillbaka/ut/överens
det,3221,A1,
sin,3217,A1,
eller,3139,A1,
från,3117,A1,
mycket,3112,A1,
vilja,3005,A1,
all,2975,A1,
göra,2942,A1,e.g. göra om/upp
om,2630,A1,
annan,2624,A1,
du,2581,A1,
någon,2566,A1,
finna,2465,A1,
ta,2452,A1,e.g. ta av/bort/med/upp/ut
när,2387,A1,
se,2253,A1,"e.g. se efter/upp/ut, se sig om"
måste,2215,A1,
detta,2201,A1,
stor,2047,A1,
nu,2033,A1,
gå,2001,A1,e.g. gå bort/fram/in/iväg/ner/omkring/runt/till/upp/ut/över
säga,1998,A1,e.g. säga upp sig
den,1981,A1,
vad,1911,A1,
år,1887,A1,
äga,1868,A1,e.g. äga rum
under,1852,A1,
betyda,1812,A1,
också,1797,A1,
där,1791,A1,
då,1789,A1,
min,1757,A1,
böra,1743,A1,"(vanligast bör, borde)"
hur,1690,A1,
mig,1623,A1,
mot,1592,A1,
bara,1582,A1,
vilken,1513,A1,
ut,1482,A1,
ny,1446,A1,
vid,1439,A1,
än,1429,A1,
bra,1428,A1,
ingen,1351,A1,
dem,1341,A1,
efter,1324,A1,
upp,1322,A1,
hon,1292,A1,
lite,1288,A1,
denna,1280,A1,
in,1275,A1,
mycket,1272,A1,
över,1267,A1,
ge,1209,A1,"e.g. ge upp/ut, ge sig, ge sig av"
vår,1207,A1,
del,1202,A1,
här,1195,A1,
även,1192,A1,
skriva,1141,A1,e.g. skriva in/under/upp/ut
tid,1128,A1,
ju,1120,A1,
sedan,1115,A1,
te sig,1115,A1,
riva,1088,A1,
börja,1039,A1,
hel,1035,A1,
dag,1034,A1,e.g. god dag
själv,1033,A1,
människa,1030,A1,
land,949,A1,
svensk,949,A1,
fråga,939,A1,
oss,934,A1,
tro,928,A1,
el,926,A1,
tycka,925,A1,"e.g. tycka om, tycka synd om"
kommentar,925,A1,
veta,894,A1,
idag,865,A1,
försöka,860,A1,
behöva,858,A1,
samma,844,A1,
mellan,842,A1,
känna,840,A1,e.g. känna igen
läsa,823,A1,e.g. läsa igenom
ro,816,A1,
kanske,810,A1,
lik,808,A1,
låta,807,A1,
olik,790,A1,
sådan,789,A1,
sätt,785,A1,
hans,775,A1,
din,772,A1,
gång,763,A1,e.g. på en gång
stå,762,A1,
inom,758,A1,
visa,757,A1,e.g. visa sig
använda,749,A1,"e.g. använda ngt, använda sig av"
vända,749,A1,e.g. vända sig
hålla,739,A1,e.g. hålla ut
genom,734,A1,
helt,722,A1,e.g. helt och hållet
fler,718,A1,
utan,708,A1,
väl,706,A1,
barn,700,A1,
enligt,680,A1,
tänka,667,A1,e.g. tänka igenom
ni,665,A1,
viktig,662,A1,
ring,659,A1,
eftersom,652,A1,
liv,625,A1,
deras,624,A1,
värld,618,A1,
viss,615,A1,
dock,615,A1,
egen,612,A1,
folk,607,A1,
regering,603,A1,
fram,601,A1,
honom,598,A1,
söka,596,A1,
dig,591,A1,
utan,587,A1,
sak,582,A1,
hög,578,A1,
länge,569,A1,
person,568,A1,
ligga,567,A1,
son,561,A1,
både,555,A1,e.g. både…och
just,546,A1,
lägga,545,A1,"e.g. lägga fram/in/på/till/ut, lägga sig"
antal,543,A1,
redan,534,A1,
kvinna,521,A1,
problem,521,A1,
fall,520,A1,
man,520,A1,
aldrig,512,A1,
ofta,502,A1,
varje,502,A1,
artikel,501,A1,
anse,501,A1,
öva,496,A1,
lag,490,A1,
slag,488,A1,
tal,486,A1,
åt,485,A1,
nog,483,A1,
bok,479,A1,
varför,476,A1,
handla,475,A1,
gammal,470,A1,
bild,469,A1,
sida,466,A1,
så,465,A1,
öka,463,A1,
därför,462,A1,
sen,459,A1,
god,454,A1,
hos,453,A1,
alltid,447,A1,
skapa,446,A1,
arbete,442,A1,
kapa,436,A1,
samt,435,A1,
blogg,431,A1,
innan,430,A1,
som,429,A1,
ur,427,A1,
gälla,427,A1,
verka,424,A1,
tala,423,A1,e.g. tala om 
bära,422,A1,
för,421,A1,
väg,421,A1,
samhälle,420,A1,
alltså,419,A1,
stat,416,A1,
stad,414,A1,e.g. i stan
höra,413,A1,
innebära,413,A1,
genom att,412,A1,
företag,412,A1,
möjlighet,411,A1,
ord,410,A1,
politisk,409,A1,
välja,404,A1,
er,404,A1,
förstå,403,A1,
inlägg,403,A1,
ägg,403,A1,
te,402,A1,
spela,402,A1,e.g. spela in/upp
så att,400,A1,
lika,394,A1,
hitta,391,A1,e.g. hitta på
tag,390,A1,e.g. gripa tag i
dra,390,A1,"e.g. dra av/in/ner/ut, dra nytta"
leda,389,A1,
gärna,387,A1,
ändå,386,A1,
förslag,385,A1,
lyckas,384,A1,
dessutom,381,A1,
område,381,A1,
lag,381,A1,
svår,380,A1,
lära,377,A1,
sätta,375,A1,e.g. sätta in/på
plats,374,A1,
lång,372,A1,
lämna,370,A1,e.g. lämna in/tillbaka/över
bygga,368,A1,
politik,367,A1,
tidigare,367,A1,
kalla,366,A1,
peng,365,A1,
väldigt,364,A1,
leva,364,A1,
ställa,361,A1,e.g. ställa in/upp/ut
följa,360,A1,
vecka,358,A1,
ja,353,A1,
ske,352,A1,
parti,348,A1,
kräva,348,A1,
utveckling,342,A1,
faktiskt,341,A1,
ena,340,A1,
svara,340,A1,
ner,340,A1,
fortsätta,337,A1,
skola,335,A1,
bruka,334,A1,
mål,332,A1,
par,332,A1,
sent,330,A1,
ekonomisk,328,A1,
kl.,326,A1,e.g. klockan 20.00
dålig,324,A1,
namn,323,A1,
igen,322,A1,
verkligen,322,A1,
mena,320,A1,
fortfarande,319,A1,
grupp,316,A1,
beslut,316,A1,
även om,315,A1,
enda,315,A1,
bort,314,A1,
slå,313,A1,e.g. slå ihop/in/ner/upp
möjlig,311,A1,
många,310,A1,
hända,308,A1,
ämna,308,A1,e.g. ämna göra ngt
endast,302,A1,
miljon,302,A1,
vidare,298,A1,
ganska,295,A1,
svar,292,A1,
varenda,291,A1,
istället,291,A1,
först,290,A1,
arbeta,290,A1,
heller,289,A1,
riktigt,289,A1,
hand,289,A1,"e.g. på egen hand, ta hand om"
uppgift,288,A1,
fungera,287,A1,
beta,287,A1,
köpa,284,A1,
nästan,284,A1,
bra,284,A1,
bland,282,A1,
december,281,A1,
sitta,280,A1,
precis,277,A1,
hennes,276,A1,
åta sig,275,A1,
bland annat,275,A1,
krig,275,A1,
till exempel,275,A1,
tillsammans,275,A1,
henne,273,A1,
intressant,272,A1,
val,270,A1,
kyrka,268,A1,
egentligen,267,A1,
inför,267,A1,
historia,267,A1,
jobb,267,A1,
berätta,266,A1,
vanlig,266,A1,
rätta,265,A1,
januari,264,A1,
information,264,A1,
flest,263,A1,e.g. de flesta
ung,261,A1,
en,260,A1,
tillbaka,260,A1,
film,259,A1,
ibland,259,A1,
medan,257,A1,
slut,257,A1,
massa,256,A1,
tanke,252,A1,
akt,251,A1,
procent,251,A1,
månad,251,A1,
sista,250,A1,
ätt,250,A1,
sluta,249,A1,
verksamhet,249,A1,
rätt,249,A1,
samtidigt,248,A1,
emot,247,A1,
stöd,244,A1,
familj,244,A1,
vem,243,A1,
åka,243,A1,
betala,242,A1,
kommun,242,A1,
resultat,242,A1,
utveckla,242,A1,
föra,240,A1,
hjälpa,239,A1,
nästa,238,A1,
